Task Name,Task ID,Subtask IDs,Description Content,Task Assignee,Status,Start Date,Due Date,Date Created,Priority,Tags,Time Estimate,Time Tracked,Subtask Names,Task Type,List (ClickUp),Sprint
Sprint 3 Engineering Work,SPR-03,"SPR-03-S1, SPR-03-S2, SPR-03-S3, SPR-03-S4",Consolidated development and testing for Sprint 3,"mobina, amirhossein",Done,2025-02-03 00:00:00,2025-02-15 00:00:00,2025-01-27 00:00:00,High,sprint,16h,16h,"Implement: feat: implement basic sparse retrieval with BM25, Verify & Test: feat: implement basic sparse retrieval with BM25, Implement: feat: setup Flask API skeleton, Verify & Test: feat: setup Flask API skeleton",Feature,Engineering,Sprint 3
Implement: feat: implement basic sparse retrieval with BM25,SPR-03-S1,,Primary implementation of feat: implement basic sparse retrieval with BM25 (Hash: f9cf7f3f74b64038c35539ad912365ef08d36d48),amirhossein,Done,2025-02-03 00:00:00,2025-02-04 00:00:00,2025-02-01 00:00:00,Normal,backend,4h,4h,,Hotfix,Engineering,Sprint 3
Verify & Test: feat: implement basic sparse retrieval with BM25,SPR-03-S2,,Functional verification and unit testing for feat: implement basic sparse retrieval with BM25,amirhossein,Done,2025-02-03 00:00:00,2025-02-04 00:00:00,2025-02-01 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 3
Implement: feat: setup Flask API skeleton,SPR-03-S3,,Primary implementation of feat: setup Flask API skeleton (Hash: 880d0ec2e7f5a5aa7f963be27dd65fb9d9bd7d6e),mobina,Done,2025-02-04 00:00:00,2025-02-05 00:00:00,2025-02-02 00:00:00,Normal,api,4h,4h,,Feature,Engineering,Sprint 3
Verify & Test: feat: setup Flask API skeleton,SPR-03-S4,,Functional verification and unit testing for feat: setup Flask API skeleton,mobina,Done,2025-02-04 00:00:00,2025-02-05 00:00:00,2025-02-02 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 3
Sprint 4 Engineering Work,SPR-04,"SPR-04-S1, SPR-04-S2, SPR-04-S3, SPR-04-S4",Consolidated development and testing for Sprint 4,"erfan, saeid",Done,2025-02-17 00:00:00,2025-03-01 00:00:00,2025-02-10 00:00:00,High,sprint,16h,16h,"Implement: fix: handle Arabic characters in normalizer, Verify & Test: fix: handle Arabic characters in normalizer, Implement: feat: add user history loader from CSV, Verify & Test: feat: add user history loader from CSV",Feature,Engineering,Sprint 4
Implement: fix: handle Arabic characters in normalizer,SPR-04-S1,,Primary implementation of fix: handle Arabic characters in normalizer (Hash: 40cd3a443d2fe1406cb17fbcb42e02c94660aa64),erfan,Done,2025-02-17 00:00:00,2025-02-18 00:00:00,2025-02-15 00:00:00,Normal,backend,4h,4h,,Hotfix,Engineering,Sprint 4
Verify & Test: fix: handle Arabic characters in normalizer,SPR-04-S2,,Functional verification and unit testing for fix: handle Arabic characters in normalizer,erfan,Done,2025-02-17 00:00:00,2025-02-18 00:00:00,2025-02-15 00:00:00,Normal,testing,4h,4h,,Bug,Engineering,Sprint 4
Implement: feat: add user history loader from CSV,SPR-04-S3,,Primary implementation of feat: add user history loader from CSV (Hash: 027e10e9e58bd1309c8d97dbd47742acc6d96a4f),saeid,Done,2025-02-18 00:00:00,2025-02-19 00:00:00,2025-02-16 00:00:00,Normal,backend,4h,4h,,Feature,Engineering,Sprint 4
Verify & Test: feat: add user history loader from CSV,SPR-04-S4,,Functional verification and unit testing for feat: add user history loader from CSV,saeid,Done,2025-02-18 00:00:00,2025-02-19 00:00:00,2025-02-16 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 4
Sprint 5 Engineering Work,SPR-05,"SPR-05-S1, SPR-05-S2, SPR-05-S3, SPR-05-S4",Consolidated development and testing for Sprint 5,"amirhossein, fatemeh",Done,2025-03-03 00:00:00,2025-03-15 00:00:00,2025-02-24 00:00:00,High,sprint,16h,16h,"Implement: feat: initial LangChain Ollama connection, Verify & Test: feat: initial LangChain Ollama connection, Implement: feat: add kNN dense search foundation, Verify & Test: feat: add kNN dense search foundation",Feature,Engineering,Sprint 5
Implement: feat: initial LangChain Ollama connection,SPR-05-S1,,Primary implementation of feat: initial LangChain Ollama connection (Hash: 21b537f3289a1af9a087d47a62c42701efc4f757),fatemeh,Done,2025-03-03 00:00:00,2025-03-04 00:00:00,2025-03-01 00:00:00,Normal,backend,4h,4h,,Hotfix,Engineering,Sprint 5
Verify & Test: feat: initial LangChain Ollama connection,SPR-05-S2,,Functional verification and unit testing for feat: initial LangChain Ollama connection,fatemeh,Done,2025-03-03 00:00:00,2025-03-04 00:00:00,2025-03-01 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 5
Implement: feat: add kNN dense search foundation,SPR-05-S3,,Primary implementation of feat: add kNN dense search foundation (Hash: 7888e3eb7ea32da1d5cc9d2b5e80d1eb363d33f6),amirhossein,Done,2025-03-04 00:00:00,2025-03-05 00:00:00,2025-03-02 00:00:00,Normal,backend,4h,4h,,Feature,Engineering,Sprint 5
Verify & Test: feat: add kNN dense search foundation,SPR-05-S4,,Functional verification and unit testing for feat: add kNN dense search foundation,amirhossein,Done,2025-03-04 00:00:00,2025-03-05 00:00:00,2025-03-02 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 5
Sprint 6 Engineering Work,SPR-06,"SPR-06-S1, SPR-06-S2, SPR-06-S3, SPR-06-S4",Consolidated development and testing for Sprint 6,"erfan, mobina",Done,2025-03-17 00:00:00,2025-03-29 00:00:00,2025-03-10 00:00:00,High,sprint,16h,16h,"Implement: docs: add API documentation and basic usage, Verify & Test: docs: add API documentation and basic usage, Implement: feat: basic spell correction logic, Verify & Test: feat: basic spell correction logic",Feature,Engineering,Sprint 6
Implement: docs: add API documentation and basic usage,SPR-06-S1,,Primary implementation of docs: add API documentation and basic usage (Hash: 835a3879338e3e2d726499aa952f2fef9ae6b642),mobina,Done,2025-03-17 00:00:00,2025-03-18 00:00:00,2025-03-15 00:00:00,Normal,api,4h,4h,,Hotfix,Engineering,Sprint 6
Verify & Test: docs: add API documentation and basic usage,SPR-06-S2,,Functional verification and unit testing for docs: add API documentation and basic usage,mobina,Done,2025-03-17 00:00:00,2025-03-18 00:00:00,2025-03-15 00:00:00,Normal,testing,4h,4h,,Bug,Engineering,Sprint 6
Implement: feat: basic spell correction logic,SPR-06-S3,,Primary implementation of feat: basic spell correction logic (Hash: 25d69f19b36e0d2dfbc1336e6ce9fd77b3caaf9c),erfan,Done,2025-03-18 00:00:00,2025-03-19 00:00:00,2025-03-16 00:00:00,Normal,backend,4h,4h,,Feature,Engineering,Sprint 6
Verify & Test: feat: basic spell correction logic,SPR-06-S4,,Functional verification and unit testing for feat: basic spell correction logic,erfan,Done,2025-03-18 00:00:00,2025-03-19 00:00:00,2025-03-16 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 6
Sprint 7 Engineering Work,SPR-07,"SPR-07-S1, SPR-07-S2, SPR-07-S3, SPR-07-S4",Consolidated development and testing for Sprint 7,"amirhossein, saeid",Done,2025-03-31 00:00:00,2025-04-12 00:00:00,2025-03-24 00:00:00,High,sprint,16h,16h,"Implement: feat: implement simple brand-based boosting, Verify & Test: feat: implement simple brand-based boosting, Implement: refactor: extract search methods into engine module, Verify & Test: refactor: extract search methods into engine module",Feature,Engineering,Sprint 7
Implement: feat: implement simple brand-based boosting,SPR-07-S1,,Primary implementation of feat: implement simple brand-based boosting (Hash: b9357898bf75d16f68e8bc7fff7db637cfdd5f58),saeid,Done,2025-03-31 00:00:00,2025-04-01 00:00:00,2025-03-29 00:00:00,Normal,backend,4h,4h,,Hotfix,Engineering,Sprint 7
Verify & Test: feat: implement simple brand-based boosting,SPR-07-S2,,Functional verification and unit testing for feat: implement simple brand-based boosting,saeid,Done,2025-03-31 00:00:00,2025-04-01 00:00:00,2025-03-29 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 7
Implement: refactor: extract search methods into engine module,SPR-07-S3,,Primary implementation of refactor: extract search methods into engine module (Hash: ebadc66699b21ef070f31e626eadb6f625bbb211),amirhossein,Done,2025-04-01 00:00:00,2025-04-02 00:00:00,2025-03-30 00:00:00,Normal,backend,4h,4h,,Refactor,Engineering,Sprint 7
Verify & Test: refactor: extract search methods into engine module,SPR-07-S4,,Functional verification and unit testing for refactor: extract search methods into engine module,amirhossein,Done,2025-04-01 00:00:00,2025-04-02 00:00:00,2025-03-30 00:00:00,Normal,testing,4h,4h,,Bug,Engineering,Sprint 7
Sprint 8 Engineering Work,SPR-08,"SPR-08-S1, SPR-08-S2, SPR-08-S3, SPR-08-S4",Consolidated development and testing for Sprint 8,"erfan, fatemeh",Done,2025-04-14 00:00:00,2025-04-26 00:00:00,2025-04-07 00:00:00,High,sprint,16h,16h,"Implement: feat: implement LLM-based query expansion, Verify & Test: feat: implement LLM-based query expansion, Implement: feat: add stemming support with FindStems, Verify & Test: feat: add stemming support with FindStems",Feature,Engineering,Sprint 8
Implement: feat: implement LLM-based query expansion,SPR-08-S1,,Primary implementation of feat: implement LLM-based query expansion (Hash: c66e681e1e5f1bbca2eb57c09ccbff616418cd61),fatemeh,Done,2025-04-14 00:00:00,2025-04-15 00:00:00,2025-04-12 00:00:00,Normal,ml,4h,4h,,Hotfix,Engineering,Sprint 8
Verify & Test: feat: implement LLM-based query expansion,SPR-08-S2,,Functional verification and unit testing for feat: implement LLM-based query expansion,fatemeh,Done,2025-04-14 00:00:00,2025-04-15 00:00:00,2025-04-12 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 8
Implement: feat: add stemming support with FindStems,SPR-08-S3,,Primary implementation of feat: add stemming support with FindStems (Hash: bda7f7b8349897904c92f341c391620d69aaca80),erfan,Done,2025-04-15 00:00:00,2025-04-16 00:00:00,2025-04-13 00:00:00,Normal,backend,4h,4h,,Feature,Engineering,Sprint 8
Verify & Test: feat: add stemming support with FindStems,SPR-08-S4,,Functional verification and unit testing for feat: add stemming support with FindStems,erfan,Done,2025-04-15 00:00:00,2025-04-16 00:00:00,2025-04-13 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 8
Sprint 9 Engineering Work,SPR-09,"SPR-09-S1, SPR-09-S2, SPR-09-S3, SPR-09-S4",Consolidated development and testing for Sprint 9,"saeid, fatemeh",Done,2025-04-28 00:00:00,2025-05-10 00:00:00,2025-04-21 00:00:00,High,sprint,16h,16h,"Implement: feat: improve LLM prompts for descriptive queries, Verify & Test: feat: improve LLM prompts for descriptive queries, Implement: feat: implement category-based boosting, Verify & Test: feat: implement category-based boosting",Feature,Engineering,Sprint 9
Implement: feat: improve LLM prompts for descriptive queries,SPR-09-S1,,Primary implementation of feat: improve LLM prompts for descriptive queries (Hash: 7062dd3e015dce237e64624434147a6d4cb9dfac),fatemeh,Done,2025-04-28 00:00:00,2025-04-29 00:00:00,2025-04-26 00:00:00,Normal,ml,4h,4h,,Hotfix,Engineering,Sprint 9
Verify & Test: feat: improve LLM prompts for descriptive queries,SPR-09-S2,,Functional verification and unit testing for feat: improve LLM prompts for descriptive queries,fatemeh,Done,2025-04-28 00:00:00,2025-04-29 00:00:00,2025-04-26 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 9
Implement: feat: implement category-based boosting,SPR-09-S3,,Primary implementation of feat: implement category-based boosting (Hash: de1c520f0b7c9fe0fcacf59957eb3ee024e2bf78),saeid,Done,2025-04-29 00:00:00,2025-04-30 00:00:00,2025-04-27 00:00:00,Normal,backend,4h,4h,,Feature,Engineering,Sprint 9
Verify & Test: feat: implement category-based boosting,SPR-09-S4,,Functional verification and unit testing for feat: implement category-based boosting,saeid,Done,2025-04-29 00:00:00,2025-04-30 00:00:00,2025-04-27 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 9
Sprint 10 Engineering Work,SPR-10,"SPR-10-S1, SPR-10-S2, SPR-10-S3, SPR-10-S4",Consolidated development and testing for Sprint 10,"mobina, amirhossein",Done,2025-05-12 00:00:00,2025-05-24 00:00:00,2025-05-05 00:00:00,High,sprint,16h,16h,"Implement: feat: add search history endpoint, Verify & Test: feat: add search history endpoint, Implement: feat: add candidate deduplication, Verify & Test: feat: add candidate deduplication",Feature,Engineering,Sprint 10
Implement: feat: add search history endpoint,SPR-10-S1,,Primary implementation of feat: add search history endpoint (Hash: 098e9f8745e9e7ffb7f875ba5e07bcd5af138d1a),mobina,Done,2025-05-12 00:00:00,2025-05-13 00:00:00,2025-05-10 00:00:00,Normal,backend,4h,4h,,Hotfix,Engineering,Sprint 10
Verify & Test: feat: add search history endpoint,SPR-10-S2,,Functional verification and unit testing for feat: add search history endpoint,mobina,Done,2025-05-12 00:00:00,2025-05-13 00:00:00,2025-05-10 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 10
Implement: feat: add candidate deduplication,SPR-10-S3,,Primary implementation of feat: add candidate deduplication (Hash: 823dddaa9a0d4be87e3ac33cade1da8c90a6411e),amirhossein,Done,2025-05-13 00:00:00,2025-05-14 00:00:00,2025-05-11 00:00:00,Normal,backend,4h,4h,,Feature,Engineering,Sprint 10
Verify & Test: feat: add candidate deduplication,SPR-10-S4,,Functional verification and unit testing for feat: add candidate deduplication,amirhossein,Done,2025-05-13 00:00:00,2025-05-14 00:00:00,2025-05-11 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 10
Sprint 11 Engineering Work,SPR-11,"SPR-11-S1, SPR-11-S2, SPR-11-S3, SPR-11-S4",Consolidated development and testing for Sprint 11,"erfan, fatemeh",Done,2025-05-26 00:00:00,2025-06-07 00:00:00,2025-05-19 00:00:00,High,sprint,16h,16h,"Implement: feat: implement catalog context for LLM, Verify & Test: feat: implement catalog context for LLM, Implement: fix: resolve keyboard layout mapping issues, Verify & Test: fix: resolve keyboard layout mapping issues",Feature,Engineering,Sprint 11
Implement: feat: implement catalog context for LLM,SPR-11-S1,,Primary implementation of feat: implement catalog context for LLM (Hash: 5e83708ad7b1965c615bf525eb14ea3828b460bf),fatemeh,Done,2025-05-26 00:00:00,2025-05-27 00:00:00,2025-05-24 00:00:00,Normal,ml,4h,4h,,Hotfix,Engineering,Sprint 11
Verify & Test: feat: implement catalog context for LLM,SPR-11-S2,,Functional verification and unit testing for feat: implement catalog context for LLM,fatemeh,Done,2025-05-26 00:00:00,2025-05-27 00:00:00,2025-05-24 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 11
Implement: fix: resolve keyboard layout mapping issues,SPR-11-S3,,Primary implementation of fix: resolve keyboard layout mapping issues (Hash: e9f86a997513e48c10155a82752cc2bb74361059),erfan,Done,2025-05-27 00:00:00,2025-05-28 00:00:00,2025-05-25 00:00:00,Normal,backend,4h,4h,,Bug,Engineering,Sprint 11
Verify & Test: fix: resolve keyboard layout mapping issues,SPR-11-S4,,Functional verification and unit testing for fix: resolve keyboard layout mapping issues,erfan,Done,2025-05-27 00:00:00,2025-05-28 00:00:00,2025-05-25 00:00:00,Normal,testing,4h,4h,,Bug,Engineering,Sprint 11
Sprint 12 Engineering Work,SPR-12,"SPR-12-S1, SPR-12-S2, SPR-12-S3, SPR-12-S4",Consolidated development and testing for Sprint 12,amirhossein,Done,2025-06-09 00:00:00,2025-06-21 00:00:00,2025-06-02 00:00:00,High,sprint,16h,16h,"Implement: feat: implement cross-encoder re-ranking foundation, Verify & Test: feat: implement cross-encoder re-ranking foundation, Implement: feat: implement Reciprocal Rank Fusion (RRF), Verify & Test: feat: implement Reciprocal Rank Fusion (RRF)",Feature,Engineering,Sprint 12
Implement: feat: implement cross-encoder re-ranking foundation,SPR-12-S1,,Primary implementation of feat: implement cross-encoder re-ranking foundation (Hash: 28d7f825c74c6739974449376f9040d58e46f903),amirhossein,Done,2025-06-09 00:00:00,2025-06-10 00:00:00,2025-06-07 00:00:00,Normal,backend,4h,4h,,Hotfix,Engineering,Sprint 12
Verify & Test: feat: implement cross-encoder re-ranking foundation,SPR-12-S2,,Functional verification and unit testing for feat: implement cross-encoder re-ranking foundation,amirhossein,Done,2025-06-09 00:00:00,2025-06-10 00:00:00,2025-06-07 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 12
Implement: feat: implement Reciprocal Rank Fusion (RRF),SPR-12-S3,,Primary implementation of feat: implement Reciprocal Rank Fusion (RRF) (Hash: 223bfd0e6aaab1e4219b1379398259a7f14774e9),amirhossein,Done,2025-06-10 00:00:00,2025-06-11 00:00:00,2025-06-08 00:00:00,Normal,backend,4h,4h,,Feature,Engineering,Sprint 12
Verify & Test: feat: implement Reciprocal Rank Fusion (RRF),SPR-12-S4,,Functional verification and unit testing for feat: implement Reciprocal Rank Fusion (RRF),amirhossein,Done,2025-06-10 00:00:00,2025-06-11 00:00:00,2025-06-08 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 12
Sprint 13 Engineering Work,SPR-13,"SPR-13-S1, SPR-13-S2, SPR-13-S3, SPR-13-S4",Consolidated development and testing for Sprint 13,"amirhossein, fatemeh",Done,2025-06-23 00:00:00,2025-07-05 00:00:00,2025-06-16 00:00:00,High,sprint,16h,16h,"Implement: refactor: optimize LLM context size to 30 items, Verify & Test: refactor: optimize LLM context size to 30 items, Implement: feat: add richer passages for cross-encoder, Verify & Test: feat: add richer passages for cross-encoder",Feature,Engineering,Sprint 13
Implement: refactor: optimize LLM context size to 30 items,SPR-13-S1,,Primary implementation of refactor: optimize LLM context size to 30 items (Hash: 545003bf24327b7ff43d14e63b5aefcb61f7df79),fatemeh,Done,2025-06-23 00:00:00,2025-06-24 00:00:00,2025-06-21 00:00:00,Normal,ml,4h,4h,,Hotfix,Engineering,Sprint 13
Verify & Test: refactor: optimize LLM context size to 30 items,SPR-13-S2,,Functional verification and unit testing for refactor: optimize LLM context size to 30 items,fatemeh,Done,2025-06-23 00:00:00,2025-06-24 00:00:00,2025-06-21 00:00:00,Normal,testing,4h,4h,,Bug,Engineering,Sprint 13
Implement: feat: add richer passages for cross-encoder,SPR-13-S3,,Primary implementation of feat: add richer passages for cross-encoder (Hash: 28a7cb8eef8fc81af498972b4957246a0d3004a7),amirhossein,Done,2025-06-24 00:00:00,2025-06-25 00:00:00,2025-06-22 00:00:00,Normal,backend,4h,4h,,Feature,Engineering,Sprint 13
Verify & Test: feat: add richer passages for cross-encoder,SPR-13-S4,,Functional verification and unit testing for feat: add richer passages for cross-encoder,amirhossein,Done,2025-06-24 00:00:00,2025-06-25 00:00:00,2025-06-22 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 13
Sprint 14 Engineering Work,SPR-14,"SPR-14-S1, SPR-14-S2, SPR-14-S3, SPR-14-S4",Consolidated development and testing for Sprint 14,"erfan, saeid",Done,2025-07-07 00:00:00,2025-07-19 00:00:00,2025-06-30 00:00:00,High,sprint,16h,16h,"Implement: feat: advanced spell checking using ES phrase suggester, Verify & Test: feat: advanced spell checking using ES phrase suggester, Implement: feat: soft demotion for purchased items, Verify & Test: feat: soft demotion for purchased items",Feature,Engineering,Sprint 14
Implement: feat: advanced spell checking using ES phrase suggester,SPR-14-S1,,Primary implementation of feat: advanced spell checking using ES phrase suggester (Hash: aa7a665b6b5b3c9794c86e8b1ec9224e9b03f042),erfan,Done,2025-07-07 00:00:00,2025-07-08 00:00:00,2025-07-05 00:00:00,Normal,backend,4h,4h,,Hotfix,Engineering,Sprint 14
Verify & Test: feat: advanced spell checking using ES phrase suggester,SPR-14-S2,,Functional verification and unit testing for feat: advanced spell checking using ES phrase suggester,erfan,Done,2025-07-07 00:00:00,2025-07-08 00:00:00,2025-07-05 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 14
Implement: feat: soft demotion for purchased items,SPR-14-S3,,Primary implementation of feat: soft demotion for purchased items (Hash: 0db79c4f9acd5b1517b28118e33113736cc93813),saeid,Done,2025-07-08 00:00:00,2025-07-09 00:00:00,2025-07-06 00:00:00,Normal,backend,4h,4h,,Feature,Engineering,Sprint 14
Verify & Test: feat: soft demotion for purchased items,SPR-14-S4,,Functional verification and unit testing for feat: soft demotion for purchased items,saeid,Done,2025-07-08 00:00:00,2025-07-09 00:00:00,2025-07-06 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 14
Sprint 15 Engineering Work,SPR-15,"SPR-15-S1, SPR-15-S2, SPR-15-S3, SPR-15-S4",Consolidated development and testing for Sprint 15,"mobina, amirhossein",Done,2025-07-21 00:00:00,2025-08-02 00:00:00,2025-07-14 00:00:00,High,sprint,16h,16h,"Implement: feat: build web UI for search results, Verify & Test: feat: build web UI for search results, Implement: feat: apply sigmoid calibration to cross-encoder scores, Verify & Test: feat: apply sigmoid calibration to cross-encoder scores",Feature,Engineering,Sprint 15
Implement: feat: build web UI for search results,SPR-15-S1,,Primary implementation of feat: build web UI for search results (Hash: ad9ac4d3de686fd7f2752230fb062710783994af),mobina,Done,2025-07-21 00:00:00,2025-07-22 00:00:00,2025-07-19 00:00:00,Normal,frontend,4h,4h,,Hotfix,Engineering,Sprint 15
Verify & Test: feat: build web UI for search results,SPR-15-S2,,Functional verification and unit testing for feat: build web UI for search results,mobina,Done,2025-07-21 00:00:00,2025-07-22 00:00:00,2025-07-19 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 15
Implement: feat: apply sigmoid calibration to cross-encoder scores,SPR-15-S3,,Primary implementation of feat: apply sigmoid calibration to cross-encoder scores (Hash: 288ebc4c9bdeeb987918aa319233258c81f766a7),amirhossein,Done,2025-07-22 00:00:00,2025-07-23 00:00:00,2025-07-20 00:00:00,Normal,backend,4h,4h,,Feature,Engineering,Sprint 15
Verify & Test: feat: apply sigmoid calibration to cross-encoder scores,SPR-15-S4,,Functional verification and unit testing for feat: apply sigmoid calibration to cross-encoder scores,amirhossein,Done,2025-07-22 00:00:00,2025-07-23 00:00:00,2025-07-20 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 15
Sprint 16 Engineering Work,SPR-16,"SPR-16-S1, SPR-16-S2, SPR-16-S3, SPR-16-S4",Consolidated development and testing for Sprint 16,"mobina, fatemeh",Done,2025-08-04 00:00:00,2025-08-16 00:00:00,2025-07-28 00:00:00,High,sprint,16h,16h,"Implement: feat: add image captioning with multimodal LLM, Verify & Test: feat: add image captioning with multimodal LLM, Implement: feat: integrate multimodal search in UI, Verify & Test: feat: integrate multimodal search in UI",Feature,Engineering,Sprint 16
Implement: feat: add image captioning with multimodal LLM,SPR-16-S1,,Primary implementation of feat: add image captioning with multimodal LLM (Hash: 431f6df0141e63739a0968f870306562777dc8af),fatemeh,Done,2025-08-04 00:00:00,2025-08-05 00:00:00,2025-08-02 00:00:00,Normal,ml,4h,4h,,Hotfix,Engineering,Sprint 16
Verify & Test: feat: add image captioning with multimodal LLM,SPR-16-S2,,Functional verification and unit testing for feat: add image captioning with multimodal LLM,fatemeh,Done,2025-08-04 00:00:00,2025-08-05 00:00:00,2025-08-02 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 16
Implement: feat: integrate multimodal search in UI,SPR-16-S3,,Primary implementation of feat: integrate multimodal search in UI (Hash: 0c2dff657416d30a8b32dbd3f17938fed9004610),mobina,Done,2025-08-05 00:00:00,2025-08-06 00:00:00,2025-08-03 00:00:00,Normal,frontend,4h,4h,,Feature,Engineering,Sprint 16
Verify & Test: feat: integrate multimodal search in UI,SPR-16-S4,,Functional verification and unit testing for feat: integrate multimodal search in UI,mobina,Done,2025-08-05 00:00:00,2025-08-06 00:00:00,2025-08-03 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 16
Sprint 17 Engineering Work,SPR-17,"SPR-17-S1, SPR-17-S2, SPR-17-S3, SPR-17-S4",Consolidated development and testing for Sprint 17,"erfan, amirhossein",Done,2025-08-18 00:00:00,2025-08-30 00:00:00,2025-08-11 00:00:00,High,sprint,16h,16h,"Implement: refactor: unify search pipeline into SearchEngine class, Verify & Test: refactor: unify search pipeline into SearchEngine class, Implement: perf: use module singletons for NLP objects, Verify & Test: perf: use module singletons for NLP objects",Feature,Engineering,Sprint 17
Implement: refactor: unify search pipeline into SearchEngine class,SPR-17-S1,,Primary implementation of refactor: unify search pipeline into SearchEngine class (Hash: 4586682c5092b19a6771bc07706b6db20c686c13),amirhossein,Done,2025-08-18 00:00:00,2025-08-19 00:00:00,2025-08-16 00:00:00,Normal,backend,4h,4h,,Hotfix,Engineering,Sprint 17
